In a layered approach to OS design, the bottom layer (layer 0) represents ________.	the hardware		
Describe the series of instructions used by the CPU to poll an I/O device register:	1. Read the device register into a CPU register. 2. Logical-AND to extract the status bit into another CPU register. 3. Branch (BR) if not zero. 4. Repeat.		
What 2 strategies could a CPU use to coordinate with an I/O device?	1. Polling (or busy-waiting) the device register. 2. Having the device issue interrupts to the CPU.		
The electric wire that carried interrupt signals to the CPU is known as the ________.	The interrupt request line.		
What is the interrupt request line?	An electric wire used to carry interrupt signals to the CPU.		
"How frequently does the CPU ""check"" the interrupt request line?"	After every executed instruction.		
We say that a device ________ an interrupt by ________ a signal on the interrupt request line.	Raises and interrupt by asserting a signal.		
We say that the CPU ________ a raised interrupt and ________ it to the interrupt handler.	Catches an interrupt and dispatches it.		
The interrupt handler must ________ the raised interrupt in order to service it.	Clear the interrupt		
How does the CPU react to an interrupt signal asserted on the interrupt request line(s)?	1. It performs a save-state of the currently running process. 2. It begins executing thethe interrupt handler code (stored at a fixed address in memory).		
Modern computers implement ________ hardware to help facilitate interrupts.	An interrupt controller.		
Why do most modern CPUs include two interrupt request lines?	So that the CPU can disable (or mask) a certain set of (low priority) interrupts while still checking for non-maskable (high priority) while executing critical sections. If the CPU had only one interrupt request line, it could not mask out a subset of signals.		
What is the interrupt vector?	A table, normally stored in low memory, which contains the memory addresses of every interrupt handler loaded by the operating system. Thus, each entry in the table points to the location of an associated block of code in memory.		
What makes it possible for the CPU to allow a high-priority interrupt to preempt a low-priority interrupt whose handler is currently executing?	The CPU normally has two separate interrupt request lines, allowing a high-priority signal to still reach the CPU while the low-priority handler is running.		
On the Intel Pentium, how many interrupt addresses are non-maskable?	32 (addresses 0 through 31)		
On the Intel Pentium, what is the range of maskable interrupts?	32-255		
How many bits are carried by the interrupt request line on the Intel Pentium?	8 bits		
How large is the interrupt address space on the Intel Pentium?	The Pentium uses an 8-bit address space, allowing for 256 unique addresses.		
When are entries added to the interrupt vector?	"When the operating system is loaded, it probes the system's hardware buses to determine which devices are connected. Based on this information, it loads the corresponding interrupt handlers into the interrupt vector."		
Give 4 examples of exceptions that could signal a hardware interrupt:	1. Divide-by-zero. 2. Accessing a protected (or invalid) memory address. 3. Accessing an address that is not memory-resident (i.e., page fault). 4. Attempting to execute a privileged instruction.		
Give some common examples of privileged instructions on a CPU:	1. Switching the processor mode. 2. Input-output control. 3. Timer management. 4. Interrupt management.		
An interrupt that is caused by software (i.e., instructions executing) is also called a ________.	A trap		
What is a trap?	An interrupt that is caused by software.		(Also referred to as an exception)
Describe how an operating system could use multiple interrupt handlers to coordinate a disk read for a requesting task:	1. The high-priority interrupt handler can record the I/O status, clear the device interrupt, initial the pending I/O request, and then raise a low-priority interrupt to finish the work. 2. The low-priority interrupt can copy the read data out of the kernel buffer into the application (user) space, and then call the scheduler to place the associated task back onto the ready queue.		
Copying data to and from a device one-byte-at-a-time is called ________.	Programmed I/O (PIO)		
What is programmed I/O?	An I/O scheme in which data is read or written one-byte-at-a-time, using data-in and data-out registers.		
What is direct memory access (DMA)?	A hardware feature that allows device controllers and other components to issue reads and writes to the memory controller without direct reliance on the CPU.		
What component is responsible for coordinate direct memory access (DMA)?	The DMA controller		
What is the DMA controller?	A special purpose processor that can operate the memory bus directly, placing addresses on the bus to perform data transfers.		
How does the CPU interact with the DMA controller?	"The CPU writes command information into a DMA control block in memory, and then passes the address of the block to the DMS controller via a device register. The DMA controller then performs the requested memory operation independently. When the operation completes, the DMA controller raises an interrupt to the CPU to signal that it's done."		
What is a DMA command block?	A data structure written by the CPU that describes a desired memory operation.		The command block is read by the DMA controller before starting an operation.
What information must be recorded in a DMA command block?	1. A source pointer (e.g., from a kernel-space buffer). 2. A destination pointer (e.g., to a user-space buffer. 3. A byte count.		
An I/O device that supports its own DMA capability is said to be ________.	bus-mastering		
Can the CPU and DMA controller access memory simultaneously?	No. Only one component may use the memory bus at a time.		
How is it possible for the CPU to accomplish work if the DMA controller is currently mastering the memory bus?	The CPU still has access to primary and secondary cache memory.		
How is communication done between I/O devices and the DMA controller?	Two wires—DMA-request and DMA-acknowledge—are used to coordinate requests.		
Describe the steps taken by a device controller and DMA controller to transfer a word of data from the device to main memory:	1. A device controller places a signal on the DMA-request line when a byte of data is ready to be transferred into memory. 2. The DMA controller then takes control of the memory bus, placing the intended address on the memory-address line and placing a signal on DMA-acknowledge. 3. The device controller then transfers the byte of data to memory and clears the DMA-request line.		
What is an I/O interface?	A standardized set of I/O functions that an I/O device may support.		
A device driver is a kind of kernel ________.	Kernel module		
Devices must support a standard ________ in order to be compatible with a general-purpose operating system.	I/O interface		
List 5 common types of I/O interfaces:	1. Block I/O. 2. Character-stream I/O. 3. Memory-mapped file access. 4. Network sockets.		
On UNIX, what is the ioctl() system call used for?	"The ""I/O control"" system call allows processes to use or interact with custom (non-standard) functionality supported by a connected I/O device."		
What arguments must be passed to an ioctl() call?	1. A file descriptor (connecting the calling task to the driver by referencing a specific device managed by that driver). 2. An integer specifying the command supported by the device driver. 3. A pointer to some arbitrary data structure (can provide control and/or data).		
Processes normally interact with block devices through a ________ interface.	A file-system interface.		
An operating system that accesses some portion of a disk as a simple linear array of blocks is said to be performing ________ I/O.	Raw I/O		
A memory-mapped file-access interface is normally layered on top of a ________ device driver.	Block I/O device driver.		
Describe the memory-mapped file-access interface scheme:	Processes read and write data to and from the device at a file level. A process can request a new or existing file to be mapped into its virtual memory address space, allowing the program to manipulate the file data in memory. Sections of the in-memory file buffer (i.e., file copy) can be written back to secondary storage as-needed.		
What operating system feature can be leveraged to implement a memory-mapped file-access interface efficiently?	Demand paging		
How might the kernel take advantage of a memory-mapped file-access interface?	It could use the interface to manage a swap space (or swap file) on disk.		
List the 2 basic operations supported by a character-stream interface:	"1. get(): Moves the device's next available character into memory. 2. put(): Moves a given character from memory over to the device."		
List several common examples (or families) of character-stream devices:	1. Keyboards. 2. Mice. 3. Network modems. 4. Printers. 5. Audio boards.		Not all devices in these families are character-stream, but certain qualities of these families make them a good candidate for a character-stream I/O interface.
What functionality should be supported by a network socket API?	1. Create a new local socket. 2. Connect a local socket to a remote address (i.e., another process). 3. Listen for remote processes waiting to connect to a local socket. 4. Send and receive messages over the socket connection.		Similar socket APIs are supported by UNIX and Windows NT.
What basic timer functionalities are needed by a system?	1. Get the current time. 2. Get the elapsed time. 3. Register a timer to execute X at time T.		"""Current time"" could mean processor time or wall clock time."
Give 3 examples of how certain pieces of an operating system rely on timers:	1. The scheduler uses a timer to preempt a process at the end of its time slice. 2. The disk I/O subsystem can use a timer to flush any dirty cache buffers. 3. The network subsystem can use timers to cancel operations that take too long.		
What happens when a process invokes a blocking system call?	The process is moved from the ready queue (run queue) onto the wait queue. It is moved back to the ready queue by the operating system once the system call returns.		
What happens when a process invokes a non-blocking system call?	The process receives status information from the operating system immediately—the data may or may not contain actionable information.		For example, a non-blocking system call could be used by a process to retrieve the set of currently pressed keys on a keyboard, if any are pressed at all. If no keys are currently pressed, the process does not have to response.
When do non-blocking system return to the caller?	Immediately.		
Distinguish asynchronous sytem calls from non-blocking system calls:	For asynchronous system calls, the caller provides a callback function invoked by the operating system when a certain asynchronous event has occurred. Both non-blocking and asynchronous calls return to the process immediatey.		
"The operating system places new I/O requests onto the associated device's ________."	wait queue		
What is the device-status table?	A vector, maintained by the operating system, with an entry for each device connected to the system. Each entry stores information about the device and any pending I/O requests associated with it.		
What information could an operating system store in a given entry in the device-status table?	"1. The device's type. 2. The device's address. 3. The device's current state (idle, busy, etc). 4. The device's set of pending I/O requests (i.e., its wait queue)."		
The vector where the operating system maintains device information is known as the ________.	The device-status table.		
What is a buffer?	A memory area that stores data while they are transferred between two devices, or between a device and an application.		
What distinguishes a buffer from a cache?	"• A cache is always backed by an original copy somewhere (i.e., in main memory) • A buffer may hold the only existing copy of some data (until the buffer's memory is copied to some other location)."		
Give 3 reasons why we might need to use buffers in an operating system:	"1. To accommodate a speed mismatch between a producer and a consumer (e.g., receiving a file in packets from a network and writing the file to disk). 2. To adapt between devices that have different data-transfer sizes (e.g., a packet reassembly buffer on a receiving host's end). 3. To support copy semantics for application I/O (e.g., to prevent subsequent unintended modification to the data that is still waiting to be copied by the kernel)."		
What is double buffering?	Double buffering facilitates a producer-consumer relationship by allocating one buffer to be filled with (i.e., written) new data (by the producer) while another buffer is used (i.e., read) by the consumer. Using two distinct buffers prevents one participant from interfering with the actions of the other.		
Why can double buffering be used to accommodate a speed mismatch between producer and consumer?	Because double buffering decouples the producer from the consumer, relaxing the timing requirements between participants.		
What is one way that the operating system could guarantee proper copy semantics for a write() system call?	The kernel could copy the region of user-space memory into a kernel-space buffer before returning from the system call. The data in the kernel buffer is what would be copied (presumably later) into a target device buffer (i.e., I/O request buffer).		
Give an example instance where a region of memory is used as both a buffer and as a cache, simultaneously:	When the operating system reads a block of data off a disk, the data is placed into a buffer in memory (e.g., memory-mapped file). Assuming the buffer has not been modified by a task, the operating system could use this buffer as an in-memory cache whenever some other task asks to read the same disk block.		
What is a spool?	A buffer that holds output for a device that cannot accept interleaved data streams		
"The term ""spool"" is based on the acronym ________."	Simultaneous Peripheral Operation Online		
Name 2 strategies or features that an operating system could use to support devices that cannot multiplex I/O from several processes?	1. Spooling 2. Explicit device allocation (and deallocation) to a process (mutual exclusion).		
To prevent users from performing illegal I/O operations, we can define all I/O instructions to be ________.	privileged instructions		This could include accessing memory-mapped I/O ports at certain virtual addresses.
The I/O subsystem of Windows NT is based on ________.	message passing		
The operating system uses ________ to track and update state information related to various connected I/O devices.	kernel data structures		
I/O subsystems commonly use ________ to abstract device specifics from the user.	object-oriented methods		
How is the drive prefix on MS-DOS used to locate a file on a specific device?	"The drive prefix is mapped to a specific I/O port address via a device table. The ""c:"" prefix value is hard-coded to point to the primary hard disk."		
How does UNIX use the file path to locate a file on a specific device?	"1. The system uses the first component of the file path (i.e., the path prefix) to lookup into the mount table, retrieving a device name. 2. The device name is used to search through the associated file-system directory structure for an identifier of the form <major, minor>. The major value identifies the device driver, while the minor value is an index into the driver's device table. 3. The system passes the minor identifier to the device driver, which performs the device table lookup to retrieve the port address (or memory-mapped address) of the appropriate device controller."		These levels of indirection offer the operating system a high level of flexibility. For example, new devices can be connected to the system without requiring a recompile of the kernel. This might also allow a device driver to be loaded on-demand.
What are STREAMS?	A feature of UNIX System V that allows programmers to cleanly assemble pipelines of device driver code to facilitate interaction between a user process and a device.		The streams framework support a modular and incremental approach to building device drivers and network protocols.
A UNIX stream represents a ________ connection between a device driver and a user-space process.	A full-duplex connection		
List the general component types of a Unix stream:	1. Stream head: Interfaces with the user-space process. 2. Driver end: Interfaces with the I/O device. 3. Stream module: One or more modules sitting between the head and the end.		
"A Unix stream's head interfaces with the ________."	The user-space process.		
"A Unix stream's driver end interfaces with the ________."	The I/O device.		
"One or more ________ may sit between a Unix stream's head and driver end."	Stream modules		
Each component in a Unix stream structure is given a ________ queue and a ________ queue.	A read queue and a write queue.		
Messages pass between stream modules via the ________ and ________.	Read queues and write queues		
Programmers can use the ________ system call to add a new module to an existing Unix stream.	The ioctl() system call.		
How is the ioctl() system call used to manage Unix streams?	This system call can be used to add a new module to an existing stream.		
To prevent overflow and data loss, Unix stream queues may support ________.	Flow control		
"Why might a Unix stream's queues need to support flow control mechanisms?"	"Without flow control, a module may send too many messages to the next module's queues, which may have limited space."		
What operations for communication are supported by Unix streams?	1. read() or getmsg()2. write() or putmsg()		
List 2 kinds of I/O-related operations that can significantly load down the memory bus:	1. Copying data from a device into main memory. 2. Copying data from a kernel-space buffer into a user-space buffer.		
Describe some ways in which we could improve the I/O efficiency in our system:	1. Reduce the number of context switches. 2. Reduce how often we need to copy data (i.e., buffers) around in memory. 3. Reduce the frequency of device interrupts (e.g., coalescing I/O requests). 4. Increase concurrency by having device controllers and I/O channels communicate with a DMA controller, bypassing the CPU. 5. Move the most common primitive I/O operations into the hardware.		
Give a list, ordered by relative cost, of the places where we could choose to implement a new I/O feature:	1. In application space (easy, but probably too slow). 2. In kernel space (more difficult, but more performant; requires greater care). 3. In the device controller / hardware (most expensive, but the fastest).		
What is a shell?	A specific variant or implementation of a command-line interpreter.		
List 4 examples of popular command-line interpreters:	1. Bourne shell 2. C shell 3. Bourne-Again shell 4. Korn shell		
On Unix, most common commands are implemented through ________.	system programs		
Generally speaking, what does a Unix command-line interpreter do when a user enters a command to run?	It identifies a specific system program (on disk) that corresponds to the command, loads the program into main memory, and executes it, forwarding any parameters specified by the user.		
What computer system was the first to feature a modern graphical user interface?	The Xerox Alto (in 1973)		
What is a system call?	"A mechanism through which a user application can use the operating system's services in a safe and controlled manner."		
What is an application programming interface?	A set of functions that are available to an application programmer (provided by a system, library, or other component external to the main program), including the parameters passed to each function and set of possible return values.		
What are 3 common platform-level APIs used by programmers today?	1. POSIX (for Unix-like systems, Linux, and macOS). 2. Win32 (for Windows systems). 3. Java (for the Java virtual machine).		
What is a system-call interface?	An API provided by a programming language runtime that implements a set of common system calls for a given operating system, allowing the application programmer to more easily make calls to a kernel.		
"Most programming languages' runtime support system includes a ________ to help programmers call into the kernel."	A system-call interface		
Describe 3 strategies by which we could provide a system call with parameters specified by the caller (i.e., the application programmer):	"1. Pass the parameters in general purpose registers. 2. Pass the parameters on the current process's program stack. 3. Store the parameters in a block of memory and pass a pointer through a register."		
Generally speaking, how does a modern debugger allow programmers to step through code and stop on breakpoints?	"The debugger could invoke a system call to switch the CPU into ""single-step mode""; in this mode, the CPU executes a trap after every single instruction. The trap can be caught by the operating system and propagated to the debugger, allowing the programmer to inspect the new state of the program using the debugger."		
A device connected to the system could be physical or ________.	virtual		
Describe two common models of interprocess communication:	1. Message passing. 2. Shared memory.		
Operating system designs take care to separate ________ from ________.	mechanism from policy		
Mechanism determines ________.	How to do something		
Policy determines ________.	What will be done.		
An important design principle for operating systems is the separation of ________ from ________.	Separation of mechanism from policy.		
Give some benefits to implementing an operating system using a higher-level language instead of assembly:	1. Faster to write. 2. More compact. 3. Easier to understand (and debug). 4. Easier to port to another architecture (i.e., ISA).		
Give some drawback to implementing an operating system using a higher-level language, instead of assembly:	1. Possibly reduced speed*. 2. Increased storage needs.		"*Although today's modern optimizing compilers have made this less of a concern in recent years."
What kind of program would normally read an object file?	A linker		
What kind of program is responsible for loading an executable file into memory?	A loader		
Files are known to a user by ________ and to the file system by ________.	a filename, a unique (numeric) identifier		
"List several items that might be listed as part of a file's attributes:"	1. File name. 2. Unque identifier (for the file system). 3. File type (on some systems). 4. Location (on a secondary storage device).. 5. Size (in bytes, words, or blocks). 6. Access control information.		
List 8 common operations on files:	1. Create 2. Read 3. Write 4. Reposition 5. Delete 6. Truncate 7. Append 8. Rename		
Describe how we could use primitive file operations to implement copy():	1. create() a new file in the file system. 2. read() data from the existing file into a buffer. 3. write() data from the buffer to the new file (copy).		
Many systems require a user to ________ a file before operating on it.	open		
What is commonly included (as a call parameter) in a call to open()?	Access-mode information		
List some common file access modes:	1. Create 2. Read-only 3. Read-write 4. Append-only		
What is typically returned by an open() system call?	"A pointer to the associated file entry in the system's open-file table."		On some platforms, this pointer is referred to as the file handle.
An entry for an open file is normally added to what two tables?	1. A system-wide open-file table. 2. A per-process open-file table.		
Why would we keep a system-wide open-file table in addition to per-process tables?	"Certain information about a file is independent of any particular process; this includes the file's location on disk, the file's size, its modified dates, etc. We can save memory by storing these attributes in one place in (kernel) memory."		
What process-dependent information might we need to track for a given process and (open) file?	1. Current file pointer (for operations on the file). 2. File access mode (for the process).		
What information might be stored in each entry of a per-process open-file table?	1. The file access mode (read-write, etc). 2. The current file pointer.		
What mechanism prevents the system-wide open-file table from growing indefinitely?	"Each entry in the table includes an open count. This field tracks the number of processes that have opened the file and not yet surrendered its file handle. The count is incremented and decremented whenever a process open()'s and close()'s the file, respectively. When the count reaches zero, then no processes are using the file, and its associated table entry is removed."		
A file can imply its type in its filename by including ________.	A file extension (separated by a dot)		
List 3 file extensions conventionally used for executable files:	"1. "".com"" 2. "".exe"" 3. "".bat"" (for batch files)"		
File extensions can be thought of as ________ to the operating system.	Hints		
Unix occasionally uses ________ at the beginning of a file to indicate its type.	magic numbers		
On Unix, what is the purpose of the magic numbers included at the beginning of some files?	"They indicate the file's type to the operating system."		
Unix systems consider a file to be simply ________.	A stream of bytes		Each byte is individually addressable by its offset from the beginning of the file.
"What information does a file's extension give the operating system?"	On Unix, the operating system makes no assumptions about the type or format of a file based on the file extension.		Granted, some GUIs may implement suggested actions based on the extension.
"The logical records that a file may contain must all be ________ into a disk's physical block."	Packed		
What is packing?	The process of mapping the logical records in a file (e.g., rows in a spreadsheet file) onto physical blocks of storage on a disk device.		
Even efficient packing of file data may still result in ________ on the block device.	Internal fragmentation		
Why is internal fragmentation still a possibility, even if we pack file data efficiently?	"Because writes to disk must be done at block-level granulaity; a file's data size is unlikely to be a perfect multiple of the device's block size, some some space is normally wasted in the final block of data."		
Sequential file access operations are based on a ________ model (of a file).	A tape model		
Give some examples of sequential file access operations:	1. Seek (forward or backward).2. Read next. 3. Write next.		
What are two conceptual models for file access operations?	1. Sequential access. 2. Direct (or random) access.		The direct access model is appropriate for disk storage devices.
Why are the block number(s) specified for a disk file operation considered relative?	Because the block number is interpreted relative to the first block in the file (as determined by reading a file index).		
What is a file index?	A data structure, normally stored on disk as well as in memory, that maps the logical records of a file to the physical blocks that store them on disk.		
Why would we benefit from generating an index for a large file?	The index could be used to efficiently find the block containing a given logical record; this significantly reduces the amount of disk I/O needed to locate the record.		
What are the benefits of implementing file-indexing for our data files?	"1. We can find a logical record's associated disk block and access it much faster. 2. We reduce the level of disk I/O requested by our programs, improving overall system performance."		
What are the drawbacks of implementing file-indexing for our data files?	1. The index must also be stored on disk, increasing storage requirements. 2. Additional processing time is needed to generate (and update) the index.		
How could we efficiently search a file index to find the entry associated with a given record?	Binary search		
How could we support file-indexing for very large files (whose index might not fit in memory)?	We could implement a multi-level index; searching the top-level index (using a given record as the key) would yield a pointer to a second-level index whose entries are pointers to the actual blocks.		
Why might a single-level file-indexing scheme not be suitable for large files?	Because a single-level table for the file might not fit into memory.		
A region of storage that holds a file system is called a ________.	A volume		
A file-system volume can be thought of as a virtual ________.	disk		
Information about each file in a file-system is recorded in the ________.	The device directory (or, simply, the directory).		Each directory entry may include a file name, size, type, and location (first block).
List 6 operations that we may need to perform on the file directory:	1. List all files.2. Search for files (possibly using a search pattern). 3. Create a new file. 4. Rename a file. 5. Delete a file. 6. Traverse all files (i.e., file-system traversal).		
MS-DOS limits file names to a maximum of ________ characters.	12 (8 for a file name and—optionally—1 for a dot and 3 for an extension)		Microsoft introduced longer filenames with the VFAT file system on Windows 95 and NT 3.5.
MS-DOS filenames follow the ________ filename convention.	8.3 filename convention.		Similar conventions were used by CP/M, TRS-80, Atari, and DEC systems. https://en.wikipedia.org/wiki/8.3_filename https://en.wikipedia.org/wiki/8.3_filename#Directory_table
List some of the information stored in a FAT32 directory entry for a file:	1. File name and extension. 2. File attributes (including file type). 3. Lettercase information (internal). 4. Date created. 5. Date modified. 6. Address of extended attributes (EA) data (if created). 7. Address of the first cluster storing file data. 8. File size.		https://en.wikipedia.org/wiki/8.3_filename#Directory_table https://en.wikipedia.org/wiki/Design_of_the_FAT_file_system
What does the number indicate in FAT12, FAT16, FAT32, etc?	The size (in bits) of each entry in the file allocation table (FAT).		
What is the maximum length of a filename on most Unix systems?	255 characters		
Is there a limit to the length of a full path in Unix?	Yes (4096 characters)		
What are 2 benefits of providing separate directories for each system user?	"1. It offers a simple mechanism for protecting one user's data from another. 2. It allows multiple users to create files with the same file name."		
What is the master file directory (MFD)?	On some systems, it is a table storing entries that each point to the file directory of a user in the system. The MFD is indexed by user name (or account number).		
What is a path name?	A synonym for a (fully qualified) file path.		
List somethings that could be included in a file path?	1. A device (volume) identifier. 2. A user directory. 3. A file name. 4. A file extension.		
Give some examples of common system programs:	1. Loaders. 2. Assemblers. 3. Compilers. 4. Command-line programs. 5. System utilities.		
What is the search path?	The sequence of directories that are searched when resolving the location of a file.		Unix makes use of the search path to locate command-line programs on the file-system.
What is the current (working) directory?	"A directory that is associated with a process that can be used to resolve files or perform other actions as the process runs. A process's current working directory (CWD) normally defaults to the directory containing the program file."		
When spawned, what does a child process normally receive as its current directory?	Normally, the current directory of the parent process.		
Changing the current directory of a process typically requires ________.	Making a system call.		
Relative paths define a path to a file or directory from ________.	"A process's current directory."		
How does a tree structure limit the features of a file system?	With a strict tree structure, we cannot share the same file between multiple logical locations in the file-system.		
An acyclic graph structure (for a file-system) is a natural generalization of a ________ structure.	A tree structure		
What is a file-system link?	A pointer to another file or directory on a file-system.		
How can we reconcile the use of links in our file-system with an acyclic graph structure?	We elect not to follow these links whenever we are traversing directories.		
How does an acyclic graph structure complicate a file-system?	A graph structure means that two different internal nodes (i.e., subdirectories) may end up pointing to the same leaf node (i.e., file). This means that a single file may have more than one absolute path from the root.		
Describe 2 aspects of a file-system that are complicated by an acyclic graph structure?	1. Traversals: How do we avoid revisiting files that have already been visited? 2. Delete semantics: What happens if a file pointed to by multiple links is deleted off disk?		
How could we handle file deletion when a file is pointed to by multiple links (i.e., danling links)?	1. Search the file-system for all links to the file and delete them. 2. Wait for a user to attempt to resolve a dangling link, and respond with an invalid access error (as though requesting a non-existant file from the file-system). 2. Do nothing.		
How does Unix and Windows handle dangling links* when a file is deleted?	These systems are designed to do nothing. The user is responsible for recognizing the invalid link and handling it themselves.		Unix handles hard links differently, however.
What characterizes a non-symbolic (hard) link in Unix?	"The directory entry for a hard link points to the associated file's inode, not to one of its directory entries."		
How does the Unix system support hard-links to files that may be deleted?	"Unix stores a reference count (or hard-link count) for a file inside the file's information block (or inode). This count is incremented and decremented whenever a hard-link is created or deleted, respectively. When the count reaches zero, the system may remove the actual inode from the file-system."		
In order to preserve the acyclic property of a graph-structure file-system, links may not point to ________.	Subdirectories (as these structures may in-turn contain links).		
How can a general graph-structure file-system support efficient directory traversal?	The system can arbitrarily limit the number of directories that are accessed during a traversal (or search).		
Detecting unreachable files in a graph-structure file-system may require ________.	garbage collection		
Why might garbage collection be a necessary feature for a graph-structure file-system?	"By relaxing the acyclic requirement on the graph, we introduce the possibility of self-referencing (or cycles). This can lead to situations where a file has a non-zero reference count and yet it cannot be reached via a traversal from the root (i.e., ""islands""). A garbage collection algorithm can test the reachability of each file in the file-system graph."		
Why might garbage collection be inappropriate for detecting unreachable files on a disk-based file-system?	Running these algorithms on a disk-based file-system can be extremely time consuming.		
A file system must be ________ before it can be accessed by the operating system:	Mounted		
What is a mount point?	"The location (in the system's directory structure) where a file-system volume is attached (or mounted)."		
How might an operating system test the validity of a file-system on a device?	The operating system could ask the supporting device driver to read the directory structure off the device and verify that it follows the expected file-system format.		
"Give some examples of policies that need to be defined by a file-system's mount semantics:"	1. Can a volume be mounted at a directory that already contains files? 2. Can the same volume be mounted repeatedly at different logical locations?		
Automatic mounting at boot time may be facilitated using a ________ file.	A system configuration file.		
To control file permissions, most operating systems associate a file with an ________ and a ________.	An owner and a group.		
"What permissions are given to a file's owner?"	The owner may change file attributes, grant file access to other users, and perform any other action associated with the file.		
"What is a file's group?"	The set of users who can be assigned certain file-sharing permissions.		
"A file's owner ID and group ID is stored in its ________."	File attributes		
"Unix's networked file system (NFS) supports a ________ client-server model."	A many-to-many client-server model.		
"Windows 2000 and XP use the ________ protocol to authenticate users' requests to remote (distributed) file systems."	The active directory protocol.		
Active directory and LDAP provide a ________ mechanism for remote users.	Secure single sign-on (SSO)		
List 2 common distributed naming (user authentication) protocols:	1. Active directory. 2. Lightweight directory-access protocol (LDAP).		
List some possible causes of an on-disk file-system failure:	"1. Mechanical disk failure (i.e., head crash, bad sector read, power loss, etc). 2. On-disk directory structure (i.e., corrupted due to hardware malfunction or bug). 3. Failure in the disk controller. 4. Failures over the serial bus or cable. 5. Failures in the host-adapter hardware. 6. Software bugs in the disk's device driver program."		
What types of semantics must be considered in the design of a networked file-system?	1. Consistency semantics.2. Failure semantics.		
What are consistency semantics?	A set of rules governing how resources may be accessed simultaneously in a multi-user (e.g., networked) system.		
On Unix systems, when will a user see modifications to a file made by another user?	Immediately.		
In Unix, can one file be accessed simultaneously by different processes?	No. Processes (and users) must contend for access to the file. The file is an exclusive resource, and processes must wait to acquire exclusive access to it before operating on it.		
What is a file session?	The set of accesses or operations performed on a file by a process, after a call to open() and before a matching call to close().		
Give examples of file access types that may be granted to a user or process.	"1. Read access ('r') (may include name, attributes, etc). 2. Write access ('w') (may include append, delete, etc). 3. Execute access ('x')."		
What is an access-control list (ACL)?	A list of user names and associated access permissions for a given file or resource.		
Do Unix systems limit the number of groups to which a file can be associated?	Yes. Files can only have 1 group in Unix.		
How are the read, write, and execute access permissions represented in a Unix command-line interface?	"1. Read: 'r' 2. Write: 'w' 3. Execute: 'x'"		
How many bits do Unix systems use to store owner, group, and system-wide access permissions for a file?	9 bits (3 bits for user, 3 bits for group, etc)		
"What information is printed with the 'ls -al' command (long form) on the Unix command-line?"	1. Access permissions (owner, group, and system-wide). 2. Number of links to the file. 3. Owner name. 4. Group name. 5. File size (in bytes). 6. Last modified date. 7. File name.		
What operations on a shared directory may need to be protected?	1. Listing of files. 2. Creation and deletion of files. 3. Renaming.		
Why can a device driver be thought of as a translator?	"The device driver translates high-level commands (such as ""retrieve block XYZ"") from the operating system into low-level, hardware-specific instructions or signals that are recieved by the I/O hardware controller. Thus, a device driver serves as an effective abstraction layer for accessing I/O devices."		
What software layers might lie between an application process and the I/O device that it is accessing:	1. The operating system.2. The logical file system. 3. The file-organization module. 4. The basic file system. 5. The device driver.		
The file-system layer that translates logical file block addresses into physical addresses is called the ________.	The file-organization module.		
"What role does the file-organization module serve in the file-system's design?"	"The file-organization module translates a file's logical block addresses into physical block addresses on the disk. It typically includes a free-space manager to track block allocation on disk."		
What is the free-space manager?	A component in a file-system that tracks which blocks are allocated and unallocated, and provides unallocated blocks to the file-system when requested.		
"The set of unallocated blocks on a file-system's backing disk is referred to as the file-system's ________."	Free space		
"The file-system layer that tracks files' metadata is known as the ________."	The logical file-system.		
The logical file-system layer is responsible for maintaining the ________ structure.	The directory structure		
What data structure is used extensively by the logical file-system layer?	The file control block (FCB) data structure.		
What is stored in a file control block (FCB)?	Metadata about a file (separate from the actual file data).		
What pieces of information might be stored in a given file control block?	1. File size. 2. Permissions. 3. Owner, group, and ACL information. 4. Access dates. 5. Pointer(s) to file data blocks.		
Which file-system layer is primarily responsible for file protection and security?	The logical file-system layer.		
Why is it beneficial to use a layered approach to file-system implementation?	A layered design reduces code duplication and allows one layer to support multiple (different) implementations of high-level layers (i.e., different logical file-systems).		
Which conceptual layers of a file-system implementation can typically be re-used to support multiple high-level file-systems simultaneously?	1. The basic file system layer.2. The device driver (i.e., I/O control code).		Different file-systems tend to differentiate themselves beginning at the file-organization layer (and in higher-level layers).
Describe 4 major contributions to file-systems that came with the advent of the Unix file system (UFS):	"1. Files could be any number of bytes, and not strictly aligned to a block length. 2. A master directory (or root directory) provided a tree structure file-system, where subdirectories could contain their own subdirectories, and so on. 3. A new set of APIs—including open(), read(), and close()—for operating on files. 4. The user of special (designated) system files that could be operated on via standard APIs in order to interface with certain operating system features and logical devices (i.e., ""Everything is a file"")."		
Describe 2 major contributions to file-systems that came with the advent of the Berkeley Fast File System (FFS):	1. Long file names. 2. Symbolic links.		
Linux distributions primarily use which file-system?	The extended file system (e.g., ext2, ext3).		
The disk block that contains information for booting an operating system image is known as the ________.	"The boot control block (alternately, ""boot block"" or ""partition boot sector"")."		
What is a volume control block?	A disk block that holds information about a storage partition.		In UFS, this block is called the superblock. On the NT file-system (NTFS), this information is stored in the master file table.
"What pieces of information might be stored in a partition's volume control block?"	"1. The number of blocks on the partition. 2. The partition's block size. 3. The free block count and free-block pointers. 4. The free FCB count and FCB pointers."		
